State,District,Date,Year,Month,Avg_rainfall,Agency_name
Andhra Pradesh,East Godavari,11/10/2023,2023,11,0,IMD GRID MODEL
Andhra Pradesh,East Godavari,11/23/2023,2023,11,0.501092346,IMD GRID MODEL
Andhra Pradesh,East Godavari,11/30/2023,2023,11,0,IMD GRID MODEL
Andhra Pradesh,East Godavari,12/4/2023,2023,12,12.4062506,IMD GRID MODEL
Andhra Pradesh,East Godavari,12/7/2023,2023,12,16.03014272,IMD GRID MODEL
Andhra Pradesh,East Godavari,12/15/2023,2023,12,0,IMD GRID MODEL
Andhra Pradesh,East Godavari,12/16/2023,2023,12,0,IMD GRID MODEL
Andhra Pradesh,East Godavari,12/19/2023,2023,12,0,IMD GRID MODEL
Andhra Pradesh,East Godavari,12/21/2023,2023,12,0,IMD GRID MODEL
Andhra Pradesh,East Godavari,12/23/2023,2023,12,0,IMD GRID MODEL
Andhra Pradesh,East Godavari,12/25/2023,2023,12,0,IMD GRID MODEL
Andhra Pradesh,Guntur,1/5/2023,2023,1,0.436310691,IMD GRID MODEL
Andhra Pradesh,Guntur,1/10/2023,2023,1,0,IMD GRID MODEL
Andhra Pradesh,Guntur,1/18/2023,2023,1,0,IMD GRID MODEL
Andhra Pradesh,Guntur,1/21/2023,2023,1,0,IMD GRID MODEL
Andhra Pradesh,Guntur,1/20/2023,2023,1,0,IMD GRID MODEL
Andhra Pradesh,Guntur,1/24/2023,2023,1,0,IMD GRID MODEL
Andhra Pradesh,Guntur,1/27/2023,2023,1,0,IMD GRID MODEL
Andhra Pradesh,Guntur,1/28/2023,2023,1,0,IMD GRID MODEL
Andhra Pradesh,Guntur,1/31/2023,2023,1,0,IMD GRID MODEL
Andhra Pradesh,Guntur,2/10/2023,2023,2,0,IMD GRID MODEL
Andhra Pradesh,Guntur,2/13/2023,2023,2,0,IMD GRID MODEL
Andhra Pradesh,Guntur,2/14/2023,2023,2,0,IMD GRID MODEL
Andhra Pradesh,Guntur,2/22/2023,2023,2,0,IMD GRID MODEL
Andhra Pradesh,Guntur,2/26/2023,2023,2,0,IMD GRID MODEL
Andhra Pradesh,Guntur,3/3/2023,2023,3,0,IMD GRID MODEL
Andhra Pradesh,Guntur,3/6/2023,2023,3,0,IMD GRID MODEL
Andhra Pradesh,Guntur,3/8/2023,2023,3,0,IMD GRID MODEL
Andhra Pradesh,Guntur,3/17/2023,2023,3,13.58106455,IMD GRID MODEL
Andhra Pradesh,Guntur,3/18/2023,2023,3,7.267323076,IMD GRID MODEL
Andhra Pradesh,Guntur,3/19/2023,2023,3,14.39946432,IMD GRID MODEL
Andhra Pradesh,Guntur,3/22/2023,2023,3,0.024726295,IMD GRID MODEL
Andhra Pradesh,Guntur,4/6/2023,2023,4,0,IMD GRID MODEL
Andhra Pradesh,Guntur,4/7/2023,2023,4,0.011991605,IMD GRID MODEL
Andhra Pradesh,Guntur,4/10/2023,2023,4,0,IMD GRID MODEL
Andhra Pradesh,Guntur,4/11/2023,2023,4,0,IMD GRID MODEL
Andhra Pradesh,Guntur,4/13/2023,2023,4,0,IMD GRID MODEL
Andhra Pradesh,Guntur,4/26/2023,2023,4,0.566701724,IMD GRID MODEL
Andhra Pradesh,Guntur,5/1/2023,2023,5,34.09186905,IMD GRID MODEL
Andhra Pradesh,Guntur,5/2/2023,2023,5,1.084816419,IMD GRID MODEL
Andhra Pradesh,Guntur,5/12/2023,2023,5,0.477915575,IMD GRID MODEL
Andhra Pradesh,Guntur,5/20/2023,2023,5,1.615098715,IMD GRID MODEL
Andhra Pradesh,Guntur,5/26/2023,2023,5,2.857494872,IMD GRID MODEL
Andhra Pradesh,Guntur,5/28/2023,2023,5,0.152981383,IMD GRID MODEL
Andhra Pradesh,Guntur,6/1/2023,2023,6,0,IMD GRID MODEL
Andhra Pradesh,Guntur,6/10/2023,2023,6,0.423619455,IMD GRID MODEL
Andhra Pradesh,Guntur,6/13/2023,2023,6,0.006210546,IMD GRID MODEL
Andhra Pradesh,Guntur,6/15/2023,2023,6,0,IMD GRID MODEL
Andhra Pradesh,Guntur,6/24/2023,2023,6,15.56006852,IMD GRID MODEL
Andhra Pradesh,Guntur,7/2/2023,2023,7,0.644472863,IMD GRID MODEL
Andhra Pradesh,Guntur,7/12/2023,2023,7,1.080838444,IMD GRID MODEL
Andhra Pradesh,Guntur,7/17/2023,2023,7,3.885466132,IMD GRID MODEL
Andhra Pradesh,Guntur,7/22/2023,2023,7,4.506119617,IMD GRID MODEL
Andhra Pradesh,Guntur,7/24/2023,2023,7,26.99550481,IMD GRID MODEL
Andhra Pradesh,Guntur,8/4/2023,2023,8,0.0153737,IMD GRID MODEL
Andhra Pradesh,Guntur,8/5/2023,2023,8,0.250867808,IMD GRID MODEL
Andhra Pradesh,Guntur,8/9/2023,2023,8,0.025337757,IMD GRID MODEL
Andhra Pradesh,Guntur,8/20/2023,2023,8,1.261674507,IMD GRID MODEL
